Wavelength(microns),(Rp/R*)^2,Error
2.873000000000000220e+00,1.024201971897556332e-03,2.801364794628759123e-05
2.892999999999999794e+00,1.043720853484557268e-03,2.770021642831576903e-05
2.913499999999999979e+00,1.042574704359065752e-03,2.655732078488228629e-05
2.934000000000000163e+00,9.901690916189779743e-04,2.487829485281696482e-05
2.953999999999999737e+00,1.003846142385223265e-03,2.592212924190999719e-05
2.974000000000000199e+00,9.691680009332348956e-04,2.558010990957616319e-05
2.994499999999999940e+00,1.010001033662066795e-03,2.413408110710084272e-05
3.014999999999999680e+00,1.069801038899564558e-03,2.523550870442231396e-05
3.035000000000000142e+00,9.913992498165880018e-04,2.412590663547953176e-05
3.054999999999999716e+00,1.046685329532736058e-03,2.340227356260835090e-05
3.075499999999999901e+00,9.977047032582904429e-04,2.380481355088438260e-05
3.096000000000000085e+00,1.059530980690675953e-03,2.381669835580323990e-05
3.115999999999999659e+00,9.970262426021027184e-04,2.405716544870492438e-05
3.136499999999999844e+00,1.023633590498058358e-03,2.242010333577499088e-05
3.157000000000000028e+00,1.069289974825272330e-03,2.347000036116656194e-05
3.176999999999999602e+00,1.053365949555160963e-03,2.331485244082570510e-05
3.197000000000000064e+00,1.002965936760084409e-03,2.335836287274308998e-05
3.217500000000000249e+00,9.662854116879382926e-04,2.267955285833285554e-05
3.238000000000000433e+00,1.014611204772891033e-03,2.393327600598696547e-05
3.258000000000000007e+00,1.046508457945685526e-03,2.343203946823977458e-05
3.278500000000000192e+00,1.010897758677842088e-03,2.271259594639522085e-05
3.299000000000000377e+00,9.847822492207670888e-04,2.289583512517406915e-05
3.318999999999999950e+00,1.016792892730693275e-03,2.259845045565180973e-05
3.339000000000000412e+00,1.007173503030563914e-03,2.327602752138889378e-05
3.359500000000000153e+00,1.008177834895565735e-03,2.272568982476197929e-05
3.379999999999999893e+00,9.742280258466399839e-04,2.206839724018465113e-05
3.400000000000000355e+00,9.451121580053965408e-04,2.296991919572809803e-05
3.419999999999999929e+00,1.020859821522530604e-03,2.315712941632556193e-05
3.440500000000000114e+00,9.691398574412055404e-04,2.252735023874255545e-05
3.461000000000000298e+00,1.044688868928298885e-03,2.271517603034396598e-05
3.480999999999999872e+00,9.989613696716700443e-04,2.269168837044344790e-05
3.501500000000000057e+00,1.000625658063986328e-03,2.374300589293846690e-05
3.522000000000000242e+00,9.800050095279699315e-04,2.322031195235133868e-05
3.541999999999999815e+00,1.049830338566018614e-03,2.461057962564223859e-05
3.562000000000000277e+00,9.660950078456109194e-04,2.295543804428795223e-05
3.582500000000000018e+00,1.021952115646241948e-03,2.330324822877175286e-05
3.602999999999999758e+00,1.015406135673434240e-03,2.319781125444436408e-05
3.623000000000000220e+00,9.904137501394077222e-04,2.403049675857526246e-05
3.643499999999999961e+00,9.369789558469963746e-04,2.341345153863658732e-05
3.663999999999999702e+00,1.046063895395279043e-03,2.374800950919052733e-05
3.684000000000000163e+00,1.013974529319816012e-03,2.452632661819879092e-05
3.703999999999999737e+00,1.032409880588187629e-03,2.429746557678039723e-05
3.830000000000000071e+00,9.214690702714116921e-04,2.650311707391925096e-05
3.849499999999999922e+00,8.881796855519417206e-04,2.559151665130019192e-05
3.868999999999999773e+00,9.122504549402279343e-04,2.456226753728370495e-05
3.889000000000000234e+00,9.632141075638324043e-04,2.513697222491852347e-05
3.908999999999999808e+00,9.113792257766657311e-04,2.605200773138402861e-05
3.928500000000000103e+00,9.197365869863693326e-04,2.743145077361756231e-05
3.948000000000000398e+00,9.722367701179883892e-04,2.571717786518427253e-05
3.967999999999999972e+00,9.362054075926486097e-04,2.649016943131874595e-05
3.987499999999999822e+00,9.707614903966589343e-04,2.842054273750094668e-05
4.006999999999999673e+00,9.138615872825359403e-04,2.723592791103590373e-05
4.027000000000000135e+00,9.311438422680085383e-04,2.723855856348936493e-05
4.047000000000000597e+00,9.248969345004918845e-04,2.778486204954796300e-05
4.066499999999999559e+00,9.802514968800918847e-04,2.952592793482479365e-05
4.086000000000000298e+00,9.156407864521619745e-04,2.862345192085013449e-05
4.105999999999999872e+00,9.385948515961199624e-04,2.924635665599416092e-05
4.125999999999999446e+00,9.572168455527463012e-04,2.930809794625961452e-05
4.145500000000000185e+00,9.421890298013231536e-04,3.089137956804465808e-05
4.165000000000000036e+00,9.237224528660510593e-04,3.010364924666785773e-05
4.185000000000000497e+00,8.444746796783396577e-04,3.017994505934879521e-05
4.204500000000000348e+00,9.670176597611969838e-04,3.185386243312494377e-05
4.224000000000000199e+00,9.477970849205613656e-04,3.136788094644251638e-05
4.243999999999999773e+00,8.959021929810805128e-04,3.185350158146548415e-05
4.263999999999999346e+00,9.632954361291249734e-04,3.206876986713891634e-05
4.283500000000000085e+00,9.308685543051767970e-04,3.229924547972301904e-05
4.302999999999999936e+00,9.617594361592810741e-04,3.660117756554374111e-05
4.323000000000000398e+00,8.990722825666030375e-04,3.427009136780992659e-05
4.342999999999999972e+00,9.029613821817776293e-04,3.424828019521064250e-05
4.362499999999999822e+00,9.522067150324861661e-04,3.679333693772070328e-05
4.381999999999999673e+00,8.832997106787231602e-04,3.577156197565654167e-05
4.402000000000000135e+00,9.222658064472725884e-04,3.473757037978447649e-05
4.421499999999999986e+00,9.316697672812202088e-04,3.759047681756197374e-05
4.440999999999999837e+00,8.784243088214144495e-04,3.809677648630608942e-05
4.461000000000000298e+00,8.874078873743529222e-04,3.726295193419800920e-05
4.480999999999999872e+00,9.033480993176470951e-04,3.954917252353907153e-05
4.500499999999999723e+00,9.270165750996097690e-04,3.975244228045797290e-05
4.519999999999999574e+00,9.886169217496623782e-04,4.015270109856394743e-05
4.540000000000000036e+00,9.123476810134070010e-04,4.038362793045281555e-05
4.560000000000000497e+00,9.061788062360308415e-04,4.145651252565818256e-05
4.579500000000000348e+00,9.149423419138587397e-04,4.232679483041533952e-05
4.599000000000000199e+00,9.269139198096930593e-04,4.233162878869033054e-05
4.618999999999999773e+00,8.738398629363296590e-04,4.238304645003092551e-05
4.638499999999999623e+00,9.164787190471922066e-04,4.264765288945078210e-05
4.657999999999999474e+00,9.911223901722906234e-04,4.251834043352477631e-05
4.677999999999999936e+00,9.420416940393246162e-04,4.245724637468035860e-05
4.698000000000000398e+00,1.022474614769883650e-03,4.320159397456276045e-05
4.717500000000000249e+00,8.874162232418187236e-04,4.478543288463308610e-05
4.737000000000000099e+00,8.637379895007230588e-04,4.436868947207010046e-05
4.756999999999999673e+00,9.586321005772417995e-04,4.459069357154856004e-05
4.777000000000000135e+00,9.344153728235113929e-04,4.634958795269806988e-05
4.796499999999999986e+00,9.081346428524893427e-04,4.824965867340864700e-05
4.815999999999999837e+00,9.091213993899099639e-04,4.529437172229585853e-05
4.836000000000000298e+00,8.739737754838413156e-04,4.723790014022587462e-05
4.855500000000000149e+00,9.636261620877342726e-04,4.964615269186870976e-05
4.875000000000000000e+00,8.516259969486380697e-04,4.924930556535432591e-05
4.894999999999999574e+00,8.751219122127780513e-04,4.853574010044546939e-05
4.915000000000000036e+00,9.175676456974330136e-04,4.945451537951242078e-05
4.934499999999999886e+00,8.874622092664163648e-04,5.150527130884109120e-05
4.954000000000000625e+00,9.084210404545422449e-04,5.109113209450695265e-05
4.974000000000000199e+00,9.086028199117824559e-04,5.059291347436059219e-05
4.993999999999999773e+00,9.158661588055590783e-04,5.319644401337428243e-05
5.013499999999999623e+00,9.201326066788587804e-04,5.566955954664491751e-05
5.032999999999999474e+00,9.733881588435897014e-04,5.555215628184212179e-05
5.052999999999999936e+00,8.965535667823171717e-04,5.540231306058619184e-05
5.072499999999999787e+00,9.852640375957115015e-04,5.510870340413025908e-05
